n,score
562,1046.2612354252417
563,549.9455673820074
564,1013.9318383071209
565,571.1552589760504
566,690.5036573872931
567,762.6635874248108
568,667.2041873336831
569,519.7180189699392
570,933.0753856537259
571,765.532072381244
572,919.1537928126264
573,544.1335173180623
574,431.34979950243036
575,627.3987006961643
576,500.47455772088495
577,899.2877401396363
578,1201.833181273347
579,674.2425245057145
580,898.629056591543
581,1287.932410664946
582,535.2027517071301
583,747.1694144943427
584,666.1236759813786
585,743.5339293336597
586,1033.2056660626492
587,657.0971434611193
588,715.1442176294196
589,638.5725426432939
590,744.8559353176297
591,452.2117061189537
592,743.5145884472912
593,882.2310314246874
594,878.3040054860971
595,542.4400881595554
596,521.8056476451126
597,652.8875325947297
598,512.9116966401552
599,1332.4434378249878
600,943.7837154324649
601,517.6182291500949
602,496.20488883028236
603,455.0172660222901
604,607.0890719662723
605,524.255360667834
606,1186.504866172064
607,786.6660135506647
608,984.8608197698494
609,659.506437172377
610,874.5473359589736
611,734.0545504008246
612,752.7824604706096
613,900.7435178465979
614,885.788167404161
615,689.4724566308479
616,870.2559077492054
617,412.82580012723173
618,508.2095917871896
619,1269.8946209470648
620,873.8290251925447
621,868.5346839061025
622,697.8040182720545
623,750.5962014779714
624,647.9665445550503
625,825.9220231512936
626,1246.8025479654634
627,762.1897843546947
628,1199.7113426148935
629,585.9677154968286
